AnimalName,AnimalGender,AgeAsOf2015,BreedName,Borough
ADDEY,F,7,American Pit Bull Mix / Pit Bull Mix,Queens
ADDIE,F,8,German Shepherd Dog,Brooklyn
ADDIE,F,2,Labrador Retriever,Manhattan
ADDIE,F,4,Norfolk Terrier,Manhattan
ADDIE,F,3,Great Dane,Brooklyn
ADDIE,F,6,Lhasa Apso,Queens
ADDIE,F,7,Unknown,Manhattan
ADDIE,F,14,Yorkshire Terrier,Manhattan
ADDIE,F,5,Unknown,Brooklyn
ADDIE,F,11,Labrador Retriever,Manhattan
ADDIE,F,4,Golden Retriever,Queens
ADDIE,F,6,Australian Cattledog,Brooklyn
ADDIE,F,5,Beagle Crossbreed,Bronx
ADDIE,F,2,Labrador Retriever,Manhattan
ADDIE,M,6,Unknown,Bronx
ADDIE,M,9,Unknown,Brooklyn
ADDIE,F,4,Unknown,Manhattan
ADDIE,F,5,Unknown,Queens
ADDIE,F,4,Unknown,Staten Island
ADDISON,F,4,Poodle,Manhattan
ADDISON,F,3,Chihuahua,Brooklyn
ADDISON,F,5,Labrador Retriever,Staten Island
ADDISON,F,5,Labrador Retriever,Manhattan
ADDISON,F,5,Border Collie,Manhattan
ADDISON,F,7,Cotton De Tulear,Manhattan
ADDISON,F,7,Golden Retriever,Brooklyn
ADDISON,F,1,Australian Shepherd,Manhattan
ADDISON,F,3,Labrador Retriever Crossbreed,Brooklyn
ADDY,F,6,Dachshund,Queens
ADDY,F,2,Chinook,Manhattan
ADDY,F,2,Labrador Retriever Crossbreed,Manhattan
ADDY,F,7,American Staffordshire Terrier,Manhattan
ADDY,F,5,Beagle,Brooklyn
ADDY,F,1,Yorkshire Terrier Crossbreed,Manhattan
ADE,M,3,Tibetan Mastiff,Bronx
ADELA,F,8,Unknown,Manhattan
ADELAIDE,F,3,Unknown,Manhattan
ADELAIDE,F,2,Maltese,Queens
ADELAIDE,F,4,Boxer,Manhattan
ADELAIDE,F,2,Australian Shepherd,Manhattan
ADELAIDE,F,6,"Bull Dog, English",Manhattan
ADELAIDE,F,6,Havanese,Manhattan
